                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9788,                 6.2626,                      0,                 207.65,                 10.141,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3761,                 5.1922,                      0,                 12.309,                 8.5495,                      0,                      0,                      0
                      2,                 5.9645,                 6.3538,                      0,                 290.79,                 8.0289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3602,                 5.0511,                      0,                 14.439,                 8.6139,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 6.4159,                  6.524,                      0,                 191.36,                 10.327,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3266,                 4.9783,                      0,                 18.844,                 8.7366,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                  6.224,                 6.3499,                      0,                  132.3,                 7.7794,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3245,                 5.0204,                      0,                 24.684,                 8.7897,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 6.3471,                 6.6629,                      0,                 52.403,                 9.3495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3436,                 5.0356,                      0,                 24.636,                 8.5546,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 6.0298,                 6.0839,                      0,                 39.789,                 6.6983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3804,                 5.0954,                      0,                 19.645,                 8.1544,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 6.2141,                 6.2424,                      0,                 25.471,                 9.4568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   6.41,                 5.1058,                      0,                 15.213,                 7.7808,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 6.5206,                 6.0801,                      0,                 18.639,                 8.4247,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.4534,                  5.119,                      0,                 11.894,                 7.4537,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 6.2999,                 6.6172,                      0,                 11.929,                 6.9118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.4904,                 5.1087,                      0,                 11.258,                 7.1875,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 6.1039,                 6.0609,                      0,                 10.462,                  5.833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.5111,                 5.1052,                      0,                 11.522,                 7.1384,              1.962e-05,              1.962e-05,              1.962e-05
